"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent"	"Y10"	17	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	149	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	825	83256835	1.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	650	83256835	0.8
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to alcohol, undetermined intent"	"Y15"	29	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent"	"Y16"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to other gases and vapours, undetermined intent"	"Y17"	32	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent"	"Y19"	8	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Hanging, strangulation and suffocation, undetermined intent"	"Y20"	24	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Drowning and submersion, undetermined intent"	"Y21"	99	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Handgun discharge, undetermined intent"	"Y22"	13	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Rifle, shotgun and larger firearm discharge, undetermined intent"	"Y23"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Other and unspecified firearm discharge, undetermined intent"	"Y24"	59	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Contact with explosive material, undetermined intent"	"Y25"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Exposure to smoke, fire and flames, undetermined intent"	"Y26"	44	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Contact with sharp object, undetermined intent"	"Y28"	8	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Contact with blunt object, undetermined intent"	"Y29"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Falling, jumping or pushed from a high place, undetermined intent"	"Y30"	23	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Falling, lying or running before or into moving object, undetermined intent"	"Y31"	11	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Crashing of motor vehicle, undetermined intent"	"Y32"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Other specified events, undetermined intent"	"Y33"	32	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"	"Unspecified event, undetermined intent"	"Y34"	228	83256835	0.3
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Event of undetermined intent"	"Y10-Y34"			2274	83256835	2.7
	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	"Legal intervention involving firearm discharge"	"Y35.0"	203	83256835	0.2
	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	"Legal execution"	"Y35.5"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	"Legal intervention involving other specified means"	"Y35.6"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	"Legal intervention, means unspecified"	"Y35.7"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"	"War operations, unspecified"	"Y36.9"	1	83256835	Unreliable
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Legal intervention and operations of war"	"Y35-Y36"			223	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Systemic antibiotic, unspecified"	"Y40.9"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Androgens and anabolic congeners"	"Y42.7"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other antineoplastic drugs"	"Y43.3"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Immunosuppressive agents"	"Y43.4"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Anticoagulants"	"Y44.2"	4	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Opioids and related analgesics"	"Y45.0"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other nonsteroidal anti-inflammatory drugs [NSAID]"	"Y45.3"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Benzodiazepines"	"Y47.1"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Sedative, hypnotic and antianxiety drug, unspecified"	"Y47.9"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Local anaesthetics"	"Y48.3"	5	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Anaesthetic, unspecified"	"Y48.4"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Psychostimulants with abuse potential"	"Y49.7"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Angiotensin-converting-enzyme inhibitors"	"Y52.4"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other antihypertensive drugs, not elsewhere classified"	"Y52.5"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"X-ray contrast media"	"Y57.5"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other drugs and medicaments"	"Y57.8"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Drug or medicament, unspecified"	"Y57.9"	51	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During surgical operation"	"Y60.0"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During kidney dialysis or other perfusion"	"Y60.2"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During heart catheterization"	"Y60.5"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During aspiration, puncture and other catheterization"	"Y60.6"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During administration of enema"	"Y60.7"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During other surgical and medical care"	"Y60.8"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"During unspecified surgical and medical care"	"Y60.9"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other specified misadventures during surgical and medical care"	"Y65.8"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Surgical operation with transplant of whole organ"	"Y83.0"	23	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Surgical operation with implant of artificial internal device"	"Y83.1"	24	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Surgical operation with anastomosis, bypass or graft"	"Y83.2"	18	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Surgical operation with formation of external stoma"	"Y83.3"	20	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other reconstructive surgery"	"Y83.4"	12	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Amputation of limb(s)"	"Y83.5"	13	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Removal of other organ (partial) (total)"	"Y83.6"	25	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other surgical procedures"	"Y83.8"	22	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Surgical procedure, unspecified"	"Y83.9"	65	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Kidney dialysis"	"Y84.1"	7	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Radiological procedure and radiotherapy"	"Y84.2"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Aspiration of fluid"	"Y84.4"	1	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Urinary catheterization"	"Y84.6"	6	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Other medical procedures"	"Y84.8"	59	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"	"Medical procedure, unspecified"	"Y84.9"	2	83256835	Unreliable
"Total"	"External causes of morbidity and mortality"	"V01-Y89"	"Complications of medical and surgical care"	"Y40-Y84"			397	83256835	0.5
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of motor-vehicle accident"	"Y85.0"	269	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of other and unspecified transport accidents"	"Y85.9"	3	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of other accidents"	"Y86"	229	83256835	0.3
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of intentional self-harm"	"Y87.0"	27	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of assault"	"Y87.1"	99	83256835	0.1
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of events of undetermined intent"	"Y87.2"	20	83256835	0.0
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use"	"Y88.0"	2	83256835	Unreliable
	"External causes of morbidity and mortality"	"V01-Y89"	"Sequelae of external causes of morbidity and mortality"	"Y85-Y89"	"Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"	"Y88.3"	16	83256835	Unreliable
